,dates,Unnamed: 0,rating,month,year,moving
0,2018-03-12,505.5,3.0,3.0,2018.0,3.0
1,2018-03-13,505.5,3.0,3.0,2018.0,3.0
2,2018-03-14,505.5,3.0,3.0,2018.0,3.0
3,2018-03-15,505.5,3.0,3.0,2018.0,3.0
4,2018-03-16,505.5,3.0,3.0,2018.0,3.0
5,2018-03-17,504.0,5.0,3.0,2018.0,4.0
6,2018-03-18,504.0,5.0,3.0,2018.0,4.0
7,2018-03-19,503.0,5.0,3.0,2018.0,4.333333333333333
8,2018-03-20,502.0,5.0,3.0,2018.0,4.5
9,2018-03-21,501.0,5.0,3.0,2018.0,4.6
10,2018-03-22,1088.0,5.0,3.0,2018.0,4.666666666666667
11,2018-03-23,695.3333333333334,5.0,3.0,2018.0,4.714285714285714
12,2018-03-24,695.3333333333334,5.0,3.0,2018.0,4.714285714285714
13,2018-03-25,498.0,5.0,3.0,2018.0,4.75
14,2018-03-26,791.5,5.0,3.0,2018.0,4.777777777777778
15,2018-03-27,791.5,5.0,3.0,2018.0,4.777777777777778
16,2018-03-28,495.5,5.0,3.0,2018.0,4.8
17,2018-03-29,495.5,5.0,3.0,2018.0,4.8
18,2018-03-30,789.5,5.0,3.0,2018.0,4.818181818181818
19,2018-03-31,1084.0,5.0,3.0,2018.0,4.833333333333333
20,2018-04-01,1084.0,5.0,3.0,2018.0,4.833333333333333
21,2018-04-02,1083.0,5.0,4.0,2018.0,4.846153846153846
22,2018-04-03,493.0,5.0,4.0,2018.0,4.857142857142857
23,2018-04-04,787.0,5.0,4.0,2018.0,4.866666666666666
24,2018-04-05,787.0,5.0,4.0,2018.0,4.866666666666666
25,2018-04-06,787.0,5.0,4.0,2018.0,4.866666666666666
26,2018-04-07,787.0,5.0,4.0,2018.0,4.866666666666666
27,2018-04-08,787.0,5.0,4.0,2018.0,4.866666666666666
28,2018-04-09,786.0,5.0,4.0,2018.0,4.875
29,2018-04-10,1079.0,5.0,4.0,2018.0,4.882352941176471
30,2018-04-11,1077.0,5.0,4.0,2018.0,4.888888888888889
31,2018-04-12,1076.0,5.0,4.0,2018.0,4.894736842105263
32,2018-04-13,1076.0,5.0,4.0,2018.0,4.894736842105263
33,2018-04-14,1075.0,5.0,4.0,2018.0,4.9
34,2018-04-15,1075.0,5.0,4.0,2018.0,4.9
35,2018-04-16,1075.0,5.0,4.0,2018.0,4.9
36,2018-04-17,1075.0,5.0,4.0,2018.0,4.9
37,2018-04-18,1075.0,5.0,4.0,2018.0,4.9
38,2018-04-19,1075.0,5.0,4.0,2018.0,4.9
39,2018-04-20,1075.0,5.0,4.0,2018.0,4.9
40,2018-04-21,490.0,3.0,4.0,2018.0,4.809523809523809
41,2018-04-22,490.0,3.0,4.0,2018.0,4.809523809523809
42,2018-04-23,489.0,5.0,4.0,2018.0,4.818181818181818
43,2018-04-24,633.75,4.75,4.0,2018.0,4.815217391304348
44,2018-04-25,779.0,5.0,4.0,2018.0,4.822916666666667
45,2018-04-26,779.0,5.0,4.0,2018.0,4.822916666666667
46,2018-04-27,1071.0,3.6666666666666665,4.0,2018.0,4.776666666666667
47,2018-04-28,1071.0,3.6666666666666665,4.0,2018.0,4.776666666666667
48,2018-04-29,484.0,5.0,4.0,2018.0,4.785256410256411
49,2018-04-30,1069.0,3.0,4.0,2018.0,4.719135802469136
50,2018-05-01,483.0,5.0,5.0,2018.0,4.729166666666667
51,2018-05-02,775.0,4.0,5.0,2018.0,4.704022988505748
52,2018-05-03,480.0,4.333333333333333,5.0,2018.0,4.691666666666667
53,2018-05-04,478.0,5.0,5.0,2018.0,4.758333333333335
54,2018-05-05,478.0,5.0,5.0,2018.0,4.758333333333335
55,2018-05-06,478.0,5.0,5.0,2018.0,4.758333333333335
56,2018-05-07,477.0,5.0,5.0,2018.0,4.758333333333335
57,2018-05-08,477.0,5.0,5.0,2018.0,4.758333333333335
58,2018-05-09,476.0,5.0,5.0,2018.0,4.758333333333335
59,2018-05-10,476.0,5.0,5.0,2018.0,4.758333333333335
60,2018-05-11,476.0,5.0,5.0,2018.0,4.758333333333335
61,2018-05-12,476.0,5.0,5.0,2018.0,4.758333333333335
62,2018-05-13,475.0,5.0,5.0,2018.0,4.758333333333335
63,2018-05-14,473.5,4.0,5.0,2018.0,4.7250000000000005
64,2018-05-15,473.5,4.0,5.0,2018.0,4.7250000000000005
65,2018-05-16,473.5,4.0,5.0,2018.0,4.7250000000000005
66,2018-05-17,473.5,4.0,5.0,2018.0,4.7250000000000005
67,2018-05-18,473.5,4.0,5.0,2018.0,4.7250000000000005
68,2018-05-19,473.5,4.0,5.0,2018.0,4.7250000000000005
69,2018-05-20,769.5,5.0,5.0,2018.0,4.7250000000000005
70,2018-05-21,471.0,5.0,5.0,2018.0,4.7250000000000005
71,2018-05-22,471.0,5.0,5.0,2018.0,4.7250000000000005
72,2018-05-23,471.0,5.0,5.0,2018.0,4.7250000000000005
73,2018-05-24,471.0,5.0,5.0,2018.0,4.7250000000000005
74,2018-05-25,470.0,5.0,5.0,2018.0,4.7250000000000005
75,2018-05-26,470.0,5.0,5.0,2018.0,4.7250000000000005
76,2018-05-27,469.0,5.0,5.0,2018.0,4.7250000000000005
77,2018-05-28,767.0,1.0,5.0,2018.0,4.591666666666668
78,2018-05-29,467.0,5.0,5.0,2018.0,4.591666666666668
79,2018-05-30,865.0,3.3333333333333335,5.0,2018.0,4.536111111111112
80,2018-05-31,865.0,3.3333333333333335,5.0,2018.0,4.536111111111112
81,2018-06-01,465.0,5.0,6.0,2018.0,4.536111111111112
82,2018-06-02,465.0,5.0,6.0,2018.0,4.536111111111112
83,2018-06-03,465.0,5.0,6.0,2018.0,4.536111111111112
84,2018-06-04,464.0,5.0,6.0,2018.0,4.536111111111112
85,2018-06-05,462.5,5.0,6.0,2018.0,4.536111111111112
86,2018-06-06,460.5,3.0,6.0,2018.0,4.469444444444446
87,2018-06-07,460.5,3.0,6.0,2018.0,4.469444444444446
88,2018-06-08,459.0,1.0,6.0,2018.0,4.336111111111112
89,2018-06-09,459.0,1.0,6.0,2018.0,4.336111111111112
90,2018-06-10,459.0,1.0,6.0,2018.0,4.336111111111112
91,2018-06-11,459.0,1.0,6.0,2018.0,4.336111111111112
92,2018-06-12,1062.0,5.0,6.0,2018.0,4.336111111111112
93,2018-06-13,1059.5,4.5,6.0,2018.0,4.3194444444444455
94,2018-06-14,458.0,3.0,6.0,2018.0,4.252777777777779
95,2018-06-15,456.5,5.0,6.0,2018.0,4.3194444444444455
96,2018-06-16,454.5,5.0,6.0,2018.0,4.3194444444444455
97,2018-06-17,454.5,5.0,6.0,2018.0,4.3194444444444455
98,2018-06-18,1058.0,5.0,6.0,2018.0,4.327777777777779
99,2018-06-19,755.0,5.0,6.0,2018.0,4.327777777777779
100,2018-06-20,452.0,5.0,6.0,2018.0,4.372222222222224
101,2018-06-21,452.0,5.0,6.0,2018.0,4.372222222222224
102,2018-06-22,450.5,4.0,6.0,2018.0,4.33888888888889
103,2018-06-23,1056.0,5.0,6.0,2018.0,4.405555555555557
104,2018-06-24,1056.0,5.0,6.0,2018.0,4.405555555555557
105,2018-06-25,1056.0,5.0,6.0,2018.0,4.405555555555557
106,2018-06-26,902.75,4.75,6.0,2018.0,4.397222222222224
107,2018-06-27,902.75,4.75,6.0,2018.0,4.397222222222224
108,2018-06-28,448.0,5.0,6.0,2018.0,4.430555555555557
109,2018-06-29,1078.0,4.666666666666667,6.0,2018.0,4.441666666666667
110,2018-06-30,446.0,1.0,6.0,2018.0,4.3083333333333345
111,2018-07-01,446.0,1.0,6.0,2018.0,4.3083333333333345
112,2018-07-02,1051.0,5.0,7.0,2018.0,4.3083333333333345
113,2018-07-03,1304.0,4.333333333333333,7.0,2018.0,4.286111111111112
114,2018-07-04,1304.0,4.333333333333333,7.0,2018.0,4.286111111111112
115,2018-07-05,444.0,5.0,7.0,2018.0,4.286111111111112
116,2018-07-06,443.0,5.0,7.0,2018.0,4.3194444444444455
117,2018-07-07,442.0,5.0,7.0,2018.0,4.3194444444444455
118,2018-07-08,441.0,5.0,7.0,2018.0,4.3194444444444455
119,2018-07-09,1049.5,5.0,7.0,2018.0,4.3194444444444455
120,2018-07-10,440.0,5.0,7.0,2018.0,4.3194444444444455
121,2018-07-11,440.0,5.0,7.0,2018.0,4.3194444444444455
122,2018-07-12,1732.0,5.0,7.0,2018.0,4.452777777777779
123,2018-07-13,1732.0,5.0,7.0,2018.0,4.452777777777779
124,2018-07-14,439.0,5.0,7.0,2018.0,4.452777777777779
125,2018-07-15,438.0,5.0,7.0,2018.0,4.508333333333335
126,2018-07-16,742.5,4.5,7.0,2018.0,4.491666666666668
127,2018-07-17,1559.0,5.0,7.0,2018.0,4.491666666666668
128,2018-07-18,1559.0,5.0,7.0,2018.0,4.491666666666668
129,2018-07-19,1559.0,5.0,7.0,2018.0,4.491666666666668
130,2018-07-20,436.0,5.0,7.0,2018.0,4.491666666666668
131,2018-07-21,436.0,5.0,7.0,2018.0,4.491666666666668
132,2018-07-22,436.0,5.0,7.0,2018.0,4.491666666666668
133,2018-07-23,436.0,5.0,7.0,2018.0,4.491666666666668
134,2018-07-24,435.0,4.0,7.0,2018.0,4.525000000000001
135,2018-07-25,435.0,4.0,7.0,2018.0,4.525000000000001
136,2018-07-26,435.0,4.0,7.0,2018.0,4.525000000000001
137,2018-07-27,435.0,4.0,7.0,2018.0,4.525000000000001
138,2018-07-28,1047.0,1.0,7.0,2018.0,4.525000000000001
139,2018-07-29,434.0,5.0,7.0,2018.0,4.525000000000001
140,2018-07-30,434.0,5.0,7.0,2018.0,4.525000000000001
141,2018-07-31,700.0,5.0,7.0,2018.0,4.541666666666668
142,2018-08-01,872.25,4.5,8.0,2018.0,4.591666666666668
143,2018-08-02,1044.0,5.0,8.0,2018.0,4.591666666666668
144,2018-08-03,431.0,5.0,8.0,2018.0,4.591666666666668
145,2018-08-04,431.0,5.0,8.0,2018.0,4.591666666666668
146,2018-08-05,1261.5,5.0,8.0,2018.0,4.591666666666668
147,2018-08-06,1068.0,4.666666666666667,8.0,2018.0,4.580555555555557
148,2018-08-07,1003.0,5.0,8.0,2018.0,4.580555555555557
149,2018-08-08,696.0,5.0,8.0,2018.0,4.61388888888889
150,2018-08-09,1238.3333333333333,3.6666666666666665,8.0,2018.0,4.569444444444445
151,2018-08-10,427.0,5.0,8.0,2018.0,4.577777777777778
152,2018-08-11,425.5,2.0,8.0,2018.0,4.477777777777778
153,2018-08-12,1728.5,1.5,8.0,2018.0,4.372222222222223
154,2018-08-13,1727.0,5.0,8.0,2018.0,4.505555555555556
155,2018-08-14,424.0,5.0,8.0,2018.0,4.505555555555556
156,2018-08-15,423.0,1.0,8.0,2018.0,4.394444444444445
157,2018-08-16,423.0,1.0,8.0,2018.0,4.394444444444445
158,2018-08-17,1726.0,1.0,8.0,2018.0,4.261111111111111
159,2018-08-18,1041.0,4.0,8.0,2018.0,4.227777777777778
160,2018-08-19,1041.0,4.0,8.0,2018.0,4.227777777777778
